,state_code,area_code,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021
215,28,27140,0.01709090909090905,0.09177756653992392,279.5,31.7,247.8,258.3,29.2,229.1,279.7,31.8,248.0,-0.07584973166368514,-0.07886435331230279,-0.07546408393866022
216,29,16020,0.024943310657596404,,45.0,6.1,38.9,42.7,6.2,36.5,45.2,6.2,38.9,-0.051111111111110996,0.016393442622950838,-0.06169665809768632
217,29,17860,0.021298174442190756,,100.8,7.7,93.1,92.7,7.9,84.8,100.7,7.9,92.9,-0.0803571428571428,0.025974025974025983,-0.08915145005370562
218,29,27620,0.030303030303030262,,76.6,10.6,66.0,75.7,11.3,64.4,78.2,11.2,67.1,-0.011749347258485532,0.0660377358490567,-0.024242424242424176
219,29,27900,0.016311166875784155,,80.5,16.5,64.0,75.2,16.2,59.0,81.0,16.6,64.4,-0.06583850931677016,-0.018181818181818188,-0.078125
220,29,28140,0.04921636085626911,0.09780933387226448,1078.2,128.6,949.6,1033.7,132.8,900.9,1097.9,133.8,964.1,-0.04127249118901877,0.03265940902021791,-0.051284751474305
221,29,41140,0.009693053311793239,,61.8,13.8,48.0,59.6,14.0,45.6,62.5,14.3,48.2,-0.03559870550161803,0.014492753623188248,-0.04999999999999993
222,29,41180,0.03694690265486719,0.10483001827461913,1385.3,182.1,1203.2,1291.3,180.9,1110.4,1406.1,187.6,1218.5,-0.067855338193893,-0.006589785831960349,-0.0771276595744681
223,29,44180,0.056894889103182175,0.09930639779567521,217.6,25.7,191.9,206.9,26.1,180.8,219.2,26.4,192.8,-0.04917279411764697,0.015564202334630517,-0.05784262636789994
224,30,13740,0.015421115065243145,0.13813746293615892,83.9,9.1,74.8,83.5,9.9,73.6,85.6,9.9,75.8,-0.00476758045292025,0.08791208791208804,-0.016042780748663166
225,30,24500,0.0,0.13235885744937637,35.4,3.0,32.4,34.4,3.5,30.9,36.0,3.3,32.7,-0.02824858757062143,0.16666666666666674,-0.04629629629629628
226,30,33540,0.07130730050933791,0.13319924232068586,61.8,5.5,56.3,60.3,6.4,53.9,63.1,6.1,57.0,-0.024271844660194164,0.1636363636363638,-0.04262877442273527
227,31,24260,0.0023752969121140478,,41.7,10.2,31.5,39.9,10.1,29.8,42.2,10.4,31.8,-0.043165467625899345,-0.009803921568627416,-0.053968253968254
228,31,30700,0.03817204301075266,0.09538636077146094,191.1,21.9,169.2,179.6,22.8,156.8,193.1,22.9,170.3,-0.06017791732077449,0.04109589041095907,-0.07328605200945615
229,31,36540,0.029232643118148553,0.09802277616216397,497.4,61.2,436.2,475.9,63.7,412.2,507.0,64.1,442.9,-0.04322476879774828,0.040849673202614456,-0.05502063273727653
230,32,16180,0.08865248226950355,0.11686062900173147,30.2,4.0,26.2,29.4,4.0,25.4,30.7,4.2,26.5,-0.026490066225165587,0.0,-0.03053435114503822
231,32,29820,0.1286180631120784,0.280560535429452,1022.7,93.2,929.5,842.9,91.4,751.5,1037.2,96.1,941.1,-0.17580913268798282,-0.01931330472102999,-0.19150080688542226
232,32,39900,0.17870722433460073,0.1555068948364367,243.7,42.8,200.9,226.9,42.7,184.2,248.0,43.9,204.1,-0.06893721789084939,-0.002336448598130758,-0.08312593330014939
233,33,73050,0.04606525911708251,0.09511920827710305,54.7,7.2,47.5,47.5,6.4,41.1,54.5,7.4,47.1,-0.13162705667276053,-0.11111111111111105,-0.13473684210526315
234,33,74950,0.06375227686703097,0.08469485951164835,117.4,13.2,104.2,102.7,12.8,89.9,116.8,13.5,103.3,-0.12521294718909715,-0.030303030303030165,-0.13723608445297497
235,33,75404,0.04462151394422306,0.08927886549237148,128.5,26.9,101.6,120.2,26.9,93.3,131.1,27.7,103.5,-0.06459143968871595,0.0,-0.08169291338582674
236,33,76900,0.0827586206896552,0.1253876478318002,90.6,11.3,79.3,87.0,11.6,75.4,94.2,11.5,82.7,-0.039735099337748325,0.0265486725663715,-0.0491803278688524
237,34,12100,0.03493788819875776,0.28673814845201384,129.2,7.5,121.7,91.2,7.6,83.6,133.3,7.9,125.4,-0.2941176470588235,0.013333333333333197,-0.31306491372226797
238,34,15804,0.05420054200542005,0.0860661464742766,534.6,61.1,473.5,481.2,59.7,421.5,544.6,63.1,481.6,-0.09988776655443332,-0.022913256955810146,-0.10982048574445613
239,34,35084,0.04065795023196967,0.0780825668090141,1216.5,120.1,1096.4,1077.0,116.9,960.1,1233.7,123.8,1109.9,-0.1146732429099877,-0.026644462947543635,-0.12431594308646488
240,34,36140,0.021176470588235262,0.27100278629928787,34.0,3.2,30.8,41.4,3.5,37.9,43.4,3.5,39.9,0.2176470588235293,0.09375,0.23051948051948035
241,34,45940,0.0786042944785276,0.05382042502118047,276.5,15.8,260.7,257.9,15.2,242.7,281.3,16.6,264.6,-0.06726943942133823,-0.03797468354430389,-0.0690448791714614
242,34,47220,0.02417962003454229,0.06071802450889829,58.5,11.5,47.0,54.3,11.0,43.3,59.3,11.8,47.5,-0.07179487179487187,-0.04347826086956519,-0.07872340425531921
243,35,10740,0.04700630252100834,0.10738461822876387,395.5,39.7,355.8,362.3,39.4,322.9,398.7,41.3,357.5,-0.0839443742098609,-0.007556675062972418,-0.0924676784710512
244,35,22140,-0.07407407407407403,,47.5,9.6,37.9,39.9,7.4,32.5,47.5,9.7,37.7,-0.16000000000000003,-0.22916666666666663,-0.1424802110817942
245,35,29740,0.051063829787233964,0.10972717472427226,74.1,6.4,67.7,67.3,6.5,60.8,74.1,6.5,67.6,-0.09176788124156543,0.015625,-0.10192023633678005
246,35,42140,0.01605136436597111,0.16530147673988746,62.5,3.7,58.8,54.9,3.8,51.1,63.3,3.9,59.4,-0.12160000000000004,0.027027027027026973,-0.13095238095238093
247,36,10580,0.033501204291657566,0.08265455034724023,466.1,43.2,422.9,418.7,45.3,373.4,472.0,46.3,425.7,-0.10169491525423735,0.04861111111111094,-0.11704894774178298
248,36,13780,0.003891050583657643,0.09703602478618381,102.3,14.6,87.7,90.2,14.7,75.5,103.2,15.3,88.0,-0.11827956989247301,0.006849315068493178,-0.1391106043329533
249,36,15380,0.018394950405771045,0.10295237600713113,557.6,70.8,486.8,483.6,69.6,414.0,564.7,73.7,491.0,-0.13271162123385938,-0.016949152542372947,-0.14954806902218576
250,36,20524,0.02691511387163565,0.0969369250552277,147.0,17.1,129.9,127.8,16.4,111.4,148.8,17.7,131.2,-0.1306122448979592,-0.04093567251462005,-0.14241724403387224
251,36,21300,-0.0314136125654451,0.09153303190970301,36.7,6.4,30.3,33.0,6.2,26.8,37.0,6.6,30.4,-0.10081743869209814,-0.03125,-0.11551155115511547
