,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
904,"Falls County, Texas",48,145,17297,4158,8741,3969,324,105,3226.0,8.9,14.2,38.4,17.9,8.1,12.4
905,"Fannin County, Georgia",13,111,26188,685,24728,201,410,164,8017.0,4.4,9.0,33.5,23.4,7.9,21.8
906,"Fannin County, Texas",48,147,35514,4247,27787,2214,986,280,6588.0,4.8,9.8,35.2,26.2,6.7,17.4
907,"Faribault County, Minnesota",27,43,13653,1001,12289,100,206,57,3174.0,3.2,4.2,37.7,23.0,13.3,18.6
908,"Faulk County, South Dakota",46,49,2299,23,2233,17,17,9,543.0,,,,,,
909,"Faulkner County, Arkansas",5,45,126007,5277,100734,15164,3243,1589,16195.0,2.4,5.7,30.5,23.0,7.8,30.6
910,"Fauquier County, Virginia",51,61,71222,6522,56273,5276,1942,1209,12072.0,2.7,4.8,26.6,20.9,8.6,36.4
911,"Fayette County, Alabama",1,57,16302,335,13703,1875,317,72,3545.0,7.2,10.2,41.3,22.2,6.8,12.4
912,"Fayette County, Georgia",13,113,114421,8563,69300,28142,2619,5797,21440.0,1.4,3.2,20.9,19.4,8.8,46.2
913,"Fayette County, Illinois",17,51,21336,392,19642,946,273,83,4136.0,4.9,11.3,40.2,22.4,10.0,11.3
914,"Fayette County, Indiana",18,41,23102,339,22000,332,350,81,4740.0,5.1,12.8,42.1,18.6,8.2,13.3
915,"Fayette County, Iowa",19,65,19650,532,18287,296,300,235,4222.0,2.5,5.8,39.6,22.6,11.2,18.3
916,"Fayette County, Kentucky",21,67,323152,23960,228471,48647,8697,13377,44820.0,3.7,5.0,19.6,20.5,7.5,43.6
917,"Fayette County, Ohio",39,47,28525,650,26314,612,673,276,5216.0,3.5,10.8,45.9,16.7,6.8,16.3
